,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Serpine1,0.9638,0.03620000000000001,3.2818244195070476,0.00015363639,3.074129e-05,0.0,0.25,2.8980527,2.9538765,2.0389104,-4.763726,10.197243,0.66758996,0.48337317,0.24653739612188375,0.13288508557456905,0.8290605,0.31582698,True,3 vs Rest,3,Rest
Csmd1,0.9674,0.03259999999999996,3.390299475604788,0.001349277,0.00020126633,0.0,0.25,2.8937829,2.5821338,3.9217052,-8.068865,12.507484,13.116349,2.550215,0.6869806094182785,0.2686430317848294,18.478443,1.743272,True,3 vs Rest,3,Rest
Plce1,0.975,0.025000000000000022,3.663561256386136,0.00033860756,5.5457716e-05,0.0,0.25,2.8875124,3.0195436,1.5941412,-4.3140097,8.675622,2.4903085,0.514672,0.7590027700830978,0.2306234718826313,3.2994351,0.35051534,True,3 vs Rest,3,Rest
Irs1,0.97,0.030000000000000027,3.476098366811273,7.174034e-05,1.4078645e-05,0.0,0.25,2.8850794,3.0324187,2.2419686,-8.137965,10.073861,0.24653728,0.08636904,0.1578947368421053,0.0632029339853314,0.3331229,0.066354744,True,3 vs Rest,3,Rest
Tenm3,0.9668,0.03320000000000001,3.371441482045512,0.00041067542,7.5763455e-05,0.0,0.25,2.8781683,2.855308,2.827462,-6.337574,9.705604,3.0914161,1.4091003,0.601108033240994,0.3818459657701523,4.040334,0.89638084,True,3 vs Rest,3,Rest
Mtm1,0.9596,0.04039999999999999,3.167686508894722,4.848207e-05,1.0137989e-05,0.0,0.25,2.8736687,2.8450727,2.0627892,-4.139988,10.095381,0.20221598,0.3368575,0.16343490304709146,0.24052567237162822,0.26680923,0.21086705,True,3 vs Rest,3,Rest
Sv2b,0.971,0.029000000000000026,3.5110303037759842,0.00017682435,2.6192212e-05,0.0,0.25,2.869902,2.7836695,1.9545742,-3.8309298,11.8195505,0.91689736,0.20672332,0.36288088642659183,0.11253056234718646,1.2953485,0.14778967,True,3 vs Rest,3,Rest
Robo1,0.9688,0.031200000000000006,3.4356397872327245,0.001106781,0.00017292048,0.0,0.25,2.8691616,2.9316397,2.1163373,-3.8066006,8.8526125,9.6038885,2.042891,0.9224376731301877,0.5528728606357151,12.945322,1.4257475,True,3 vs Rest,3,Rest
Akt3,0.9644,0.035599999999999965,3.2991602379193363,0.00019531819,3.3001197e-05,0.0,0.25,2.8675647,2.9304895,2.2117221,-4.503806,9.2003565,1.6315771,1.137475,0.6038781163434871,0.4930929095354264,2.198441,0.7260809,True,3 vs Rest,3,Rest
Trim39,0.968,0.03200000000000003,3.409495882307477,7.096885e-05,1.0363614e-05,0.0,0.25,2.8659587,2.9403744,1.9547464,-4.4306936,9.075469,0.20221597,0.2460875,0.15235457063711916,0.19999999999999266,0.2424101,0.1549905,True,3 vs Rest,3,Rest
C1s1,0.9594,0.04059999999999997,3.16253978657807,0.00011184586,2.8089864e-05,0.0,0.25,2.8636827,2.9187746,2.235776,-5.342744,10.061289,0.48476467,0.15806815,0.2908587257617726,0.08826405867970634,0.6181913,0.123408884,True,3 vs Rest,3,Rest
Ctnnd2,0.9708,0.029200000000000004,3.5039514324132983,0.0006542086,0.00011161358,0.0,0.25,2.8629766,2.717548,2.917062,-5.759551,8.340642,5.74238,2.3373053,0.7451523545706326,0.47377750611244474,7.8373013,1.5679425,True,3 vs Rest,3,Rest
Zeb1,0.962,0.038000000000000034,3.23142803817647,0.00022611821,3.48731e-05,0.0,0.25,2.8530347,2.9169383,2.064702,-3.8194284,10.346749,1.437671,0.30605075,0.5512465373961192,0.15867970660146227,1.9598213,0.21139102,True,3 vs Rest,3,Rest
Slco3a1,0.9696,0.030399999999999983,3.4624406882690915,0.00015588541,2.3962451e-05,0.0,0.25,2.8491178,2.9266295,1.7964435,-4.2970896,9.4893265,1.2493062,0.56865466,0.5457063711911331,0.2817237163814056,1.6892718,0.37356317,True,3 vs Rest,3,Rest
Rnf150,0.963,0.03700000000000003,3.2591352392678825,0.00045163187,6.1829815e-05,0.0,0.25,2.837376,2.9790826,2.1250648,-4.956829,9.454202,3.426598,0.63059,0.7479224376731256,0.2762224938875184,4.7843924,0.4478691,True,3 vs Rest,3,Rest
Cdk14,0.967,0.03300000000000003,3.377690641297818,7.4639735e-05,1.5077752e-05,0.0,0.25,2.8312194,2.988583,2.1100717,-4.848418,8.525178,0.52354604,0.41650283,0.30193905817174477,0.20562347188263289,0.7309128,0.26211035,True,3 vs Rest,3,Rest
Lrig1,0.961,0.039000000000000035,3.204412516836249,0.00016728157,3.092707e-05,0.0,0.25,2.8280194,2.878852,1.8301677,-4.5343075,8.180486,1.2382262,0.42230964,0.54293628808864,0.27713936430316627,1.5712242,0.28560886,True,3 vs Rest,3,Rest
Eva1c,0.9562,0.04379999999999995,3.0833330609571905,7.389509e-05,1.2059813e-05,0.0,0.25,2.8243504,2.974502,2.4351835,-6.0782404,11.32661,0.26592794,0.1268335,0.18559556786703607,0.09009779951100207,0.38346463,0.09231608,True,3 vs Rest,3,Rest
Wipi2,0.9694,0.03059999999999996,3.4556769979712687,0.00010483835,1.9563144e-05,0.0,0.25,2.8223462,2.8140392,1.6118565,-2.6235075,8.824064,0.6786705,0.5967819,0.41551246537395975,0.37701711491440687,0.8934151,0.37105274,True,3 vs Rest,3,Rest
Dtx4,0.966,0.03400000000000003,3.3468030258307184,1.7740924e-05,4.4237363e-06,0.0,0.25,2.8216465,2.8773174,2.4933608,-8.510393,12.283027,0.14127418,0.058068354,0.11911357340720226,0.04511002444987826,0.17037846,0.037593726,True,3 vs Rest,3,Rest
Arntl,0.9606,0.03939999999999999,3.1937920295299222,8.542586e-05,1.6465432e-05,0.0,0.25,2.820707,2.8929672,2.056147,-4.775791,9.775099,0.62049866,0.48031685,0.4072022160664806,0.3210880195598872,0.84836894,0.31733936,True,3 vs Rest,3,Rest
Wdr72,0.9542,0.04579999999999995,3.036588994101264,6.421538e-05,8.430329e-06,0.0,0.25,2.8173132,2.9525528,2.6226165,-8.130967,12.827281,0.18559551,0.23001178,0.11911357340720226,0.13484107579461782,0.24192262,0.14175743,True,3 vs Rest,3,Rest
Sh3pxd2b,0.9686,0.031399999999999983,3.429043528907814,0.0001028644,1.9276495e-05,0.0,0.25,2.8171325,2.855836,1.6489935,-4.9306736,8.274498,0.8421055,0.1681537,0.4930747922437651,0.11845965770170931,1.1210018,0.11851668,True,3 vs Rest,3,Rest
Dgkh,0.9646,0.03539999999999999,3.305001415376299,0.00011161512,1.8688339e-05,0.0,0.25,2.8139124,2.9022002,1.9135455,-4.066886,10.82345,0.8614956,0.34651518,0.42659279778393194,0.1985941320293326,1.1618242,0.24484561,True,3 vs Rest,3,Rest
Lclat1,0.9624,0.03759999999999997,3.2424258586979,3.176409e-05,6.3245043e-06,0.0,0.25,2.8073227,2.7964287,2.02955,-3.9442644,10.399394,0.25484756,0.20409495,0.18836565096952915,0.13850855745720927,0.3383696,0.13276923,True,3 vs Rest,3,Rest
Acsf3,0.9574,0.04259999999999997,3.112366799386283,1.838896e-05,4.717243e-06,0.0,0.25,2.8036942,2.640112,2.4210699,-5.6539907,12.580181,0.11634344,0.17102654,0.1024930747922438,0.14798288508557053,0.1445479,0.104454376,True,3 vs Rest,3,Rest
Ccdc141,0.9688,0.031200000000000006,3.4356397872327245,0.00016093811,2.5555342e-05,0.0,0.25,2.8016999,2.8099022,1.7173941,-3.5854158,9.553267,1.1468141,0.3704149,0.4986149584487512,0.18838630806845305,1.5177472,0.24214971,True,3 vs Rest,3,Rest
Fam13a,0.965,0.03500000000000003,3.316779764498021,0.000100528254,1.8725596e-05,0.0,0.25,2.7998571,2.8825154,1.8862339,-4.311039,8.67049,0.520776,0.36601394,0.3102493074792239,0.1710880195598967,0.6819159,0.24544492,True,3 vs Rest,3,Rest
Sema3d,0.9604,0.03959999999999997,3.1885205039737716,7.358354e-05,1.1449911e-05,0.0,0.25,2.7963967,2.8322463,2.388078,-6.9020977,10.98986,0.3905819,0.145721,0.20221606648199453,0.07292176039119876,0.48588547,0.09334361,True,3 vs Rest,3,Rest
Rarb,0.9566,0.043399999999999994,3.0929256701788073,0.00016474455,1.9731886e-05,0.0,0.25,2.7939336,2.8650746,3.468012,-8.780963,15.81713,0.6094182,0.11424186,0.2299168975069253,0.05605134474327734,0.89234895,0.08429799,True,3 vs Rest,3,Rest
Tbrg4,0.9578,0.042200000000000015,3.122218540340339,2.4249697e-05,4.0070854e-06,0.0,0.25,2.7874513,2.7956638,2.1592832,-6.0710564,9.870835,0.11357336,0.12004866,0.10526315789473688,0.10666259168704013,0.15163682,0.07086547,True,3 vs Rest,3,Rest
Nhs,0.9616,0.03839999999999999,3.2205408541699643,0.000618537,8.112845e-05,0.0,0.25,2.770999,2.7897196,2.7938428,-6.04364,10.853256,4.8836546,0.5220091,0.6426592797783898,0.1705990220048845,6.563825,0.3887162,True,3 vs Rest,3,Rest
