"","cytoGenes"
"1700097N02Rik",0.138585930024573
"1700102H20Rik",0.0293196215083307
"1700102P08Rik",-0.00698114362014924
"1700104B16Rik",0.0157701934795665
"1700104L18Rik",0.0138196542708743
"1700105P06Rik",-0.0113745608490459
"1700108N11Rik",0.0108840754727047
"1700109G14Rik",0.0251071117606775
"1700109H08Rik",-0.00864632829811545
"1700109K24Rik",-0.0137759373123402
"1700110C19Rik",0.0125223812508016
"1700110I01Rik",0.00859413992483208
"1700110K17Rik",0.0100789437582298
"1700111E14Rik",-0.00537651890398259
"1700112D23Rik",0.084051396458313
"1700112H15Rik",0.0286783431532846
"1700112J16Rik",-0.0175399392497197
"1700113A16Rik",0.110248199830084
"1700113H08Rik",0.0348185915106
"1700119H24Rik",0.0414543558575061
"1700120G07Rik",0.0272349851554534
"1700120K04Rik",0.0211559200683879
"1700121C08Rik",0.0126756748857879
"1700123L14Rik",0.00991781965382717
"1700123O12Rik",0.0136790668049874
"1700123O20Rik",0.10893412295571
"1700124L16Rik",0.0448149453716947
"1700125G22Rik",0.0411056270580349
"1700125H03Rik",0.0202336883546569
"1700125H20Rik",0.0627532096223071
"1700126G02Rik",-0.0411329796578509
"1700126H18Rik",0.0134546901491471
"1810006J02Rik",-0.0449955111091652
"1810007D17Rik",0.0183611039727538
"1810008B01Rik",0.0101523778544146
"1810008I18Rik",-0.0258768197519036
"1810009A15Rik",0.130282595139822
"1810010H24Rik",0.0671792227081673
"1810012K08Rik",0.0105960239920034
"1810012K16Rik",-0.0239506853110085
"1810013D15Rik",0.0270722318109419
"1810013L24Rik",0.0116658425541143
"1810019N24Rik",0.0412367565905713
"1810020O05Rik",0.0448873350868292
"1810021B22Rik",0.0149509261885588
"1810024B03Rik",0.0210102719329414
"1810028F09Rik",-0.021969345060928
"1810030O07Rik",0.0613522209785549
"1810034E14Rik",-0.0163227005069007
"1810037I17Rik",0.149378816286253
"1810041H14Rik",0.13935389712312
"1810044D09Rik",0.0759588294525985
"1810046K07Rik",-0.0540433652672707
"1810049I09Rik",-0.0129131788087319
"1810049J17Rik",0.0104180725758409
"1810055G02Rik",0.0414367880657984
"1810058I24Rik",0.050906320171802
"1810062G17Rik",0.0469160971610024
"1810062O18Rik",0.0430595259385627
"1810063I02Rik",0.0581290820209799
"1810064F22Rik",0.0489943428153624
"1810065E05Rik",0.0352058900207342
"2010001M07Rik",-0.0399695492739844
"2010003K11Rik",-0.0678752053440267
"2010007H06Rik",-0.0330329710000575
"2010009K17Rik",-0.0265977284775885
"2010013B24Rik",0.0163955537948386
"2010103J01Rik",-0.0182954250139964
"2010109A12Rik",0.0370617810889556
"2010110E17Rik",-0.0450985843095959
"2010110G14Rik",0.0271022902210716
"2010110K18Rik",0.0999992738959643
"2010300C02Rik",-0.0511822344086243
"2010308F09Rik",-0.00313342237269897
"2010309G21Rik",0.0317904627888217
"2010310C07Rik",-0.0511314753778184
"2010315B03Rik",0.045904140548121
"2010320M18Rik",0.0898842757998591
"2200002D01Rik",-0.131930780061674
"2200002J24Rik",0.0511260341977986
"2210011C24Rik",0.00588070521087454
"2210011K15Rik",0.00617689015259312
"2210016F16Rik",0.132951943378814
"2210016L21Rik",0.0549451089461454
"2210039B01Rik",0.0125662590363831
"2210404E10Rik",0.0516809462452145
"2210406O10Rik",0.0266662601168415
"2210407C18Rik",-0.0687167110807219
"2210408I21Rik",0.0363373112702349
"2210411M09Rik",-0.00187191083364918
"2210414B05Rik",-0.000520632937175297
"2210418O10Rik",0.00987258827494151
"2300002M23Rik",0.0339727051326133
"2300009A05Rik",0.138675535076264
"2310001H17Rik",0.148730863719905
"2310001K24Rik",0.0192358566154293
"2310002D06Rik",0.0378388636295394
"2310002L09Rik",-0.0045075586685695
"2310003N18Rik",0.0114352586542186
"2310008N11Rik",0.0188964411724298
"2310009B15Rik",0.150798051925158
"2310011J03Rik",0.100442870266465
"2310015D24Rik",0.0216531108847295
"2310015K22Rik",-0.00202665393440816
"2310016D03Rik",0.0357567967033958
"2310016G11Rik",0.0029871324561791
"2310022A10Rik",0.00686549363058836
"2310022B05Rik",0.0849723171571278
"2310026I22Rik",0.00615280211569737
"2310026L22Rik",-0.00816092487595834
"2310030G06Rik",0.098761615567105
"2310033P09Rik",0.107901834719053
"2310034G01Rik",0.0632034660504393
"2310034O05Rik",-0.00356191451427208
"2310039H08Rik",0.0917750901726824
"2310039L15Rik",-0.0139465047715281
"2310040G24Rik",0.129226094682717
"2310043L19Rik",0.0471338315760369
"2310043M15Rik",0.00181444305660701
"2310043O21Rik",0.0158221122638529
"2310046K23Rik",0.00134490338443723
"2310047D07Rik",-0.00288133477973229
"2310050C09Rik",-0.00835677058278866
"2310057J18Rik",-0.00198481129796122
"2310057M21Rik",0.0617898079036604
"2310061I04Rik",0.137959759345612
"2310065F04Rik",-0.0126300996218071
"2310067P03Rik",0.00981152857518246
"2310068J16Rik",0.0445599737704507
"2310069B03Rik",0.0163801368817626
"2310074N15Rik",0.0143099724460269
"2310075C17Rik",-0.0426190368187718
"2310081O03Rik",-0.0454594423469684
"2400006E01Rik",0.00805352708511093
"2410002F23Rik",0.0609686952941292
"2410004B18Rik",0.116496368016358
"2410004P03Rik",0.045442796300737
"2410012E07Rik",0.0404568193381385
"2410017I17Rik",-0.000192962297338525
"2410018L13Rik",0.0394255661178691
"2410021H03Rik",0.0191062244799893
"2410080I02Rik",0.0374254139587632
"2410131K14Rik",0.0993555546670667
"2410137M14Rik",0.0424181117967251
"2510002D24Rik",0.131975609685601
"2510009E07Rik",0.00804087679302587
"2510017J16Rik",0.0216972690418578
"2510039O18Rik",0.0511809361882191
"2510046G10Rik",0.0458695779109369
"2600006K01Rik",-0.00597724482203158
"2610001J05Rik",0.000518501612054943
"2610002M06Rik",0.118409327391138
"2610008E11Rik",-0.0978841380559657
"2610016A17Rik",0.221257168567064
"2610020C07Rik",0.0404865523419532
"2610021A01Rik",0.0271490715418129
"2610027F03Rik",0.0496545009996423
"2610028E06Rik",0.0334860386656489
"2610028H24Rik",0.0541405680790718
"2610035D17Rik",-0.0592996576912857
"2610037D02Rik",0.0233580586130609
"2610042L04Rik",0.0838960579657916
"2610044O15Rik8",0.0123481094488712
"2610204G07Rik",0.00628240265905147
"2610206C17Rik",0.0854635850623826
"2610300M13Rik",0.00113475340024413
"2610301B20Rik",0.11415773902297
"2610318N02Rik",0.0613108566014502
"2610507B11Rik",0.00959007198742552
"2610528A11Rik",0.17718097925229
"2610528J11Rik",0.0323815516452194
"2700033N17Rik",0.0112135287552375
"2700038G22Rik",0.0989569818151677
"2700046G09Rik",0.00443446562126028
"2700049A03Rik",0.0868831557621254
"2700062C07Rik",0.0890911875779798
"2700068H02Rik",0.00404346663433573
"2700069I18Rik",0.00153072217069612
"2700081O15Rik",-0.0580656323514101
"2700089I24Rik",0.0304516353846631
"2700097O09Rik",0.0198831223164433
"2810001G20Rik",0.0104140686359586
"2810004N23Rik",0.168518813010963
"2810006K23Rik",0.190648579930307
"2810021J22Rik",-0.0101118217227499
"2810032G03Rik",-0.0380882927489405
"2810049E08Rik",0.00832986817576546
"2810402E24Rik",0.0693099614044732
"2810404F17Rik",0.0104921501424789
"2810404M03Rik",0.0831278709384921
"2810405F17Rik",0.0235558944617912
"2810407A14Rik",0.00583365347985462
"2810408A11Rik",0.085998967120065
"2810414N06Rik",0.0146648233840072
"2810429I04Rik",0.00748823771253402
"2810433D01Rik",-0.059240551021896
"2810442N19Rik",-0.00645979757349857
"2810454H06Rik",0.0235933858084306
"2810455O05Rik",-0.00696755007055158
"2810457G06Rik",0.034128147384264
"2810459M11Rik",-0.0023754713904152
"2900009J06Rik",0.0487281337541211
"2900026A02Rik",-0.103902009747586
