,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Trim39,0.9386,0.06140000000000001,2.7269794159949496,6.982564e-05,1.7443173e-05,0.0,0.25,1.8087776,1.874382,1.7354461,-5.4603434,8.044489,0.20221597,0.112033196,0.15235457063711916,0.10254890337877867,0.2424101,0.09903931,True,3 vs Rest,3,Rest
Zbtb40,0.929,0.07099999999999995,2.571428731691726,3.945047e-05,9.335813e-06,0.0,0.25,1.7992038,1.8035431,2.239716,-5.2345886,8.46969,0.08587256,0.04386485,0.06925207756232689,0.04208654416123295,0.10481683,0.042372268,False,3 vs Rest,3,Rest
Itpkb,0.9322,0.06779999999999997,2.6209850522269886,6.833609e-05,1.313258e-05,0.0,0.25,1.7988682,1.7446241,2.0446432,-4.8496695,8.117838,0.22437663,0.1345584,0.15512465373961223,0.11144042679312363,0.30682376,0.12035419,False,3 vs Rest,3,Rest
Hist4h4,0.9316,0.06840000000000002,2.611530577917082,7.150604e-05,1.6254822e-05,0.0,0.25,1.7964855,1.7892151,2.2938957,-6.191189,9.410004,0.09418279,0.10432721,0.06371191135734074,0.08535862477771175,0.118080035,0.10813084,False,3 vs Rest,3,Rest
Ncapg2,0.929,0.07099999999999995,2.571428731691726,5.5270295e-05,1.5714433e-05,0.0,0.25,1.7888414,1.7601056,2.077798,-4.797331,8.935598,0.26315784,0.08120925,0.13019390581717455,0.07113218731475981,0.24409729,0.07270945,False,3 vs Rest,3,Rest
Alpk2,0.9332,0.06679999999999997,2.636916320619904,9.075918e-05,2.6182619e-05,0.0,0.25,1.7886953,1.8201227,2.2342794,-5.9823885,9.555578,0.23822707,0.12685241,0.11080332409972303,0.08535862477771175,0.2769722,0.11195119,False,3 vs Rest,3,Rest
Wdhd1,0.9394,0.06059999999999999,2.740946326146231,2.2880944e-05,6.0213993e-06,0.0,0.25,1.7880076,1.7652779,2.415717,-7.9569616,11.174846,0.0803324,0.030823948,0.05263157894736844,0.02548903378778899,0.08339804,0.022929259,True,3 vs Rest,3,Rest
Pcdhga6,0.9452,0.05479999999999996,2.8477061794568197,2.2972526e-05,5.617451e-06,0.0,0.25,1.786085,1.8927045,2.4376986,-6.490117,11.206366,0.11080329,0.038529936,0.08587257617728535,0.036158861885002974,0.13472797,0.0329569,True,3 vs Rest,3,Rest
Spink5,0.9358,0.06420000000000003,2.679398422659016,8.168461e-05,2.2588823e-05,0.0,0.25,1.7855444,1.8024554,2.0882072,-7.1936464,9.72795,0.2188365,0.13396563,0.1024930747922438,0.07053941908713682,0.2751443,0.09993127,True,3 vs Rest,3,Rest
Lnx2,0.9382,0.061799999999999966,2.7200596302771367,7.31938e-05,1.712518e-05,0.0,0.25,1.7785494,1.8194447,1.7278795,-4.7901144,7.851326,0.15235451,0.12388856,0.12465373961218841,0.10491997628927066,0.21325459,0.111929454,True,3 vs Rest,3,Rest
Pnpla6,0.9328,0.06720000000000004,2.6305174299780223,4.416669e-05,1.2608103e-05,0.0,0.25,1.7756617,1.849174,1.3626013,-3.1801414,7.668599,0.18836556,0.12151749,0.16066481994459839,0.11144042679312363,0.23211989,0.11021084,False,3 vs Rest,3,Rest
Slc5a3,0.9344,0.06559999999999999,2.6563287743869615,0.00018592367,5.523402e-05,0.0,0.25,1.7695624,1.7427077,1.6829548,-4.408946,8.600746,1.1052626,0.5773563,0.39889196675900146,0.33076467101363266,1.3903209,0.49630278,False,3 vs Rest,3,Rest
Bcor,0.9348,0.06520000000000004,2.662872991055349,5.4084398e-05,1.3892023e-05,0.0,0.25,1.7662011,1.7565532,1.6166482,-4.882737,7.647071,0.13019387,0.10847659,0.09418282548476457,0.0978067575577947,0.16364855,0.09933734,False,3 vs Rest,3,Rest
Fam71a,0.945,0.05500000000000005,2.843851571025116,0.00012849741,3.8631533e-05,0.0,0.25,1.7638875,1.9031663,2.420954,-7.9689913,9.028274,0.4930748,0.22999407,0.23822714681440452,0.15352697095435644,0.6811527,0.23275319,True,3 vs Rest,3,Rest
Zbtb34,0.9366,0.06340000000000001,2.6927922882544832,1.9757781e-05,5.737317e-06,0.0,0.25,1.7638662,1.7439342,2.24452,-7.269746,9.498346,0.06648198,0.03023118,0.05263157894736844,0.028452874925903995,0.08009475,0.02552333,True,3 vs Rest,3,Rest
Zbtb10,0.9308,0.06920000000000004,2.5990434350392984,0.00016410355,4.7192767e-05,0.0,0.25,1.7509172,1.7759337,1.3931142,-3.2576113,6.526762,1.1385038,0.5340842,0.487534626038779,0.31535269709543473,1.4273548,0.44414932,False,3 vs Rest,3,Rest
Stk10,0.9402,0.059799999999999964,2.755086801045413,2.8786853e-05,1.01512505e-05,0.0,0.25,1.7448516,1.754139,2.6224344,-7.591071,10.289689,0.07756231,0.04327208,0.05817174515235459,0.03675163011262597,0.07871459,0.0325507,True,3 vs Rest,3,Rest
Neat1,0.9264,0.0736,2.5326609560088174,0.0009197647,0.0003013894,0.0,0.25,1.7435662,1.7175784,1.4463357,-3.4210062,6.2628965,8.235459,3.6419926,0.9335180055401598,0.7646710136336667,10.029424,3.0183187,False,3 vs Rest,3,Rest
Strip2,0.936,0.06399999999999995,2.682732247551694,3.7174683e-05,1.3876799e-05,0.0,0.25,1.7371958,1.6720076,1.8082418,-5.2230673,10.677575,0.17451514,0.11499704,0.13296398891966763,0.08654416123295774,0.19032462,0.089893974,True,3 vs Rest,3,Rest
Mindy4,0.9278,0.07220000000000004,2.5533760186929015,5.3625397e-05,1.2885225e-05,0.0,0.25,1.7227942,1.6811428,1.6225029,-3.2230453,7.8449717,0.15789467,0.11736811,0.1357340720221607,0.10314167160640167,0.19816259,0.098852806,False,3 vs Rest,3,Rest
Hdc,0.9334,0.06659999999999999,2.6401291165327536,5.1052237e-05,1.1483911e-05,0.0,0.25,1.7227278,1.7375431,2.3499134,-7.5763435,9.711103,0.11357339,0.085951395,0.06648199445983381,0.06698280972139883,0.14029673,0.06820049,False,3 vs Rest,3,Rest
Ppm1n,0.9548,0.04520000000000002,3.0504045968609734,5.7539855e-05,1.5389121e-05,0.0,0.25,1.7213165,1.7214327,3.2502024,-10.645093,13.320134,0.18282545,0.082394786,0.10526315789473688,0.06698280972139883,0.2580233,0.08357982,True,3 vs Rest,3,Rest
Gtdc1,0.9326,0.06740000000000002,2.627331228810728,0.00013933954,4.4481494e-05,0.0,0.25,1.7179644,1.717535,2.1395373,-4.767394,8.999742,0.6648197,0.35921755,0.3047091412742378,0.23177237700059208,0.9017601,0.3347645,False,3 vs Rest,3,Rest
Hps5,0.9276,0.07240000000000002,2.550394178648677,5.0093306e-05,1.1512385e-05,0.0,0.25,1.7145482,1.6668811,1.6218228,-3.9529343,7.009794,0.17451516,0.10729105,0.146814404432133,0.10077059869590968,0.23691718,0.09118462,False,3 vs Rest,3,Rest
Srl,0.9306,0.06940000000000002,2.595942538551336,3.3974335e-05,9.415284e-06,0.0,0.25,1.7132205,1.7191095,2.008059,-5.548772,8.083184,0.09141271,0.072910495,0.07756232686980612,0.059869590989922866,0.10572083,0.051413987,False,3 vs Rest,3,Rest
Dus2,0.9322,0.06779999999999997,2.6209850522269886,3.5712124e-05,9.460419e-06,0.0,0.25,1.7107906,1.7041702,1.5975738,-3.619669,8.237128,0.10803321,0.09128631,0.08033240997229919,0.08476585655008875,0.13566752,0.08091182,False,3 vs Rest,3,Rest
Ggta1,0.927,0.07299999999999995,2.5414939982186593,3.74835e-05,1.1914861e-05,0.0,0.25,1.7056979,1.7398052,1.9291811,-5.096925,7.8763075,0.10526313,0.10491998,0.08310249307479227,0.09128630705394172,0.13359965,0.09223891,False,3 vs Rest,3,Rest
Apba1,0.934,0.06599999999999995,2.6498215553939164,4.984853e-05,1.854604e-05,0.0,0.25,1.7017831,1.7843971,2.447814,-6.8951445,9.428697,0.10803321,0.089508004,0.07479224376731304,0.06342620035566085,0.13156646,0.07533135,False,3 vs Rest,3,Rest
Cradd,0.9322,0.06779999999999997,2.6209850522269886,0.0001542005,4.0076047e-05,0.0,0.25,1.6964139,1.7298522,1.8304327,-4.4939585,8.006078,0.41274258,0.27860108,0.19944598337950145,0.20094842916419622,0.5900313,0.2583851,False,3 vs Rest,3,Rest
Gm47903,0.9368,0.06320000000000003,2.6961653635774967,1.32130535e-05,4.093208e-06,0.0,0.25,1.6929264,1.7283192,2.4167402,-8.87157,9.951034,0.07756231,0.025489034,0.06371191135734074,0.02430349733254299,0.10128308,0.021989519,True,3 vs Rest,3,Rest
Cdc27,0.9432,0.05679999999999996,2.809741858041939,0.000106323125,3.1204112e-05,0.0,0.25,1.688677,1.7364273,1.1411865,-2.7309837,5.57329,0.41551268,0.32187316,0.2686980609418282,0.256668642560758,0.5647199,0.28908756,True,3 vs Rest,3,Rest
Il23r,0.941,0.05900000000000005,2.7694055368151407,0.00010229345,2.8551469e-05,0.0,0.25,1.6857617,1.7544866,1.948214,-7.3468447,8.226805,0.3988921,0.22347362,0.182825484764543,0.12092471843509159,0.5447164,0.17682096,True,3 vs Rest,3,Rest
