x,Neuroepithelium-a,Interneuron,Neuroepithelium-b,RGC-a,immature_neuron,Layer I,Pia,RGC-b,IPC-a,Endothelial cell,IPC-b (mitotic),Microglia,Layer V-VI-a,RGC-c,Layer-V-VI-b,Layer II-IV,Pericyte,Hippocampus,OPC
Adi1,0.13329431,0.050962,0.1697936,0.11447946,0.17870258,0.13172358,0.11522877,0.11368333,0.10298142,0.09256632,0.11564996,0.34263146,0.12960885,0.1248381,0.118682645,0.13670997,0.075975604,0.10599046,0.12852198
Adipor1,0.27964798,0.22961375,0.4347121,0.25573918,0.20104723,0.31520423,0.35834405,0.27582532,0.26316214,1.4265803,0.26592916,0.9400683,0.22047225,0.3510962,0.25247487,0.17683028,0.23232405,0.16512606,0.3174463
Adipor2,0.34855324,0.16666532,0.48579508,0.2446138,0.18046914,0.24102472,0.22935402,0.2855722,0.22034968,0.3301693,0.23856436,0.23560457,0.19282386,0.21450701,0.16423742,0.1931162,0.08867839,0.27936792,0.32172975
Adk,0.3710726,0.059151087,0.269698,0.36190233,0.087675996,0.0809779,0.40153962,0.37198246,0.19840313,0.07375875,0.23180814,0.2226601,0.14703141,0.36521694,0.23816864,0.14020152,0.19326903,0.13432087,0.4582274
Adm,0.0027009684,0.0,0.0,0.0,0.0,0.005537079,0.008994895,0.0,0.0023408155,0.3750474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adnp,0.17734785,0.21358588,0.17594276,0.16072842,0.24094789,0.17893675,0.15997934,0.19386493,0.16267039,0.08008763,0.3157804,0.021553593,0.1937116,0.17089072,0.19353156,0.2046228,0.11572306,0.2194359,0.12316826
Adnp2,0.10548805,0.030285476,0.11013826,0.069901414,0.039638944,0.047886577,0.13167323,0.060550824,0.069078036,0.06947057,0.07852924,0.031476695,0.053856798,0.06926354,0.04448832,0.029002372,0.0,0.07526832,0.052235026
Ado,0.06788598,0.055089265,0.09703613,0.043765437,0.049800918,0.07039085,0.08499826,0.03415693,0.03121994,0.026644155,0.029055813,0.14593366,0.061939225,0.031472784,0.101351835,0.051259566,0.036722578,0.07280699,0.053665124
Adora1,0.0011582456,0.015601023,0.0066785705,0.0020356153,0.008261168,0.05115116,0.0,0.009091747,0.0,0.0,0.0038226831,0.0,0.044820648,0.0051008686,0.21569681,0.09010962,0.0,0.19699395,0.044257157
Adora2a,0.002031147,0.0,0.0,0.0,0.0,0.00660406,0.0,0.0,0.0,0.20438181,0.0,0.0,0.0,0.0,0.0,0.0006224627,0.13120408,0.0,0.0
Adora2b,0.0025473177,0.0,0.0,0.01082946,0.0,0.0073054624,0.051472377,0.030199954,0.002132818,0.0,0.0,0.0,0.0,0.053758033,0.0,0.0,0.063311204,0.0,0.02427532
Adpgk,0.072675064,0.027019484,0.022592744,0.06281618,0.05131038,0.07593633,0.11808156,0.031801805,0.06198135,0.104045846,0.026746238,0.06572111,0.045048796,0.08080443,0.023826879,0.03345012,0.030453943,0.061416876,0.08572759
Adprh,0.60944015,0.40955827,0.70709366,0.4835013,0.5150892,0.5185166,0.6989597,0.44009766,0.47917038,0.7609349,0.48673457,0.5489564,0.46836528,0.49610895,0.38174766,0.4013352,0.5932263,0.58834183,0.57018226
Adprhl2,0.13918039,0.10280674,0.21915375,0.09684363,0.095094964,0.17822304,0.1677446,0.1401949,0.095873505,0.10756938,0.10947031,0.0427254,0.13476002,0.14712206,0.12872872,0.1330746,0.11571575,0.2097453,0.20525381
Adprm,0.078498445,0.09152648,0.081974156,0.047901604,0.09026492,0.12615047,0.14365248,0.046254728,0.11283298,0.039826073,0.12097774,0.029210623,0.09924408,0.07012148,0.11842459,0.067371376,0.036722578,0.061562106,0.05866069
Adra1a,0.006640977,0.004968736,0.028437082,0.010178305,0.0002978222,0.0,0.0,0.00429108,0.004280029,0.0,0.0,0.0,0.0,0.0068348595,0.0,0.0,0.0,0.0,0.014073763
Adra1b,0.0020881789,0.007083013,0.0,0.0,0.0,0.0,0.0046423483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adra2a,0.0012204411,0.0,0.0,0.0015443381,0.0025949779,0.012642404,0.16530938,0.0,0.0046143313,0.0,0.0,0.0,0.0,0.0,0.0042239497,0.011431886,0.0,0.040178906,0.004567564
Adrb1,0.0,0.0044726105,0.016206542,0.0,0.0011374974,0.0,0.012821606,0.0,0.0,0.0,0.003323802,0.022538574,0.00861519,0.0,0.09496777,0.006872282,0.0,0.0,0.03962013
Adrb2,0.0022028848,0.0,0.0,0.0,0.0012514439,0.0,0.0,0.002065363,0.0,0.012723123,0.0019641162,0.10841292,0.0,0.0,0.0,0.0,0.0,0.0024223123,0.0
Adrbk1,0.04566815,0.059660282,0.08050612,0.041547053,0.046294097,0.121431656,0.018677615,0.03782894,0.037178155,0.16850445,0.06391262,0.25091398,0.04804345,0.051821735,0.06209065,0.07169502,0.085269116,0.088622816,0.05582808
Adrbk2,0.018657483,0.04833356,0.02793463,0.02008798,0.01919403,0.06653895,0.050190035,0.010188722,0.04500827,0.0,0.02568367,0.0,0.019568743,0.012666569,0.080602184,0.05536414,0.0,0.026947457,0.08572115
