,mt,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,n_cells,mean,std,cytoGenes,gcsGenes
Rpl7,False,44529,13.807194,18.74418350030109,756648.0,44529,-7.499304356450426e-12,0.7371231787458149,0.537707627684663,0.500102645862228
Rpl6,False,47142,19.950073,13.97602233535884,1093284.0,47142,-1.852426717466862e-10,0.7406774342724252,0.53686058335934,0.49985930966211
Rps15,False,45467,11.373953,17.03253590262951,623304.0,45467,-1.06663140822101e-10,0.6386259365760303,0.536802522135962,0.499436266970026
Rpl19,False,47987,21.86367,12.434079670079011,1198151.0,47987,1.1172233094237467e-10,0.6396244372098399,0.536360382193017,0.494986087283077
Rps6,False,43153,9.636448,21.255086586011206,528087.0,43153,3.050188690415233e-11,0.6933887823140273,0.536037662065767,0.494581558553664
Actb,False,50938,45.18998,7.049141439024831,2476456.0,50938,-1.9434394045730613e-12,0.7273451533126959,0.535097620561147,0.492725763527552
Calr,False,40414,8.311254,26.253170562580973,455465.0,40414,3.2587364532595842e-12,0.8055388394269705,0.531727148644778,0.492491896974204
Rpsa,False,48005,18.884874,12.40123355413223,1034910.0,48005,-4.4226030486381536e-11,0.7840325304396935,0.529872906805103,0.492458216156456
Slc25a4,False,30832,3.1352894,43.73825295158847,171817.0,30832,8.439064718121036e-11,0.7007016881440958,0.529332364820104,0.490858018347552
Ybx1,False,38562,5.6117225,29.632670936661743,307528.0,38562,5.021905456630212e-11,0.6145621154639801,0.528776635169611,0.489528978937979
Rpl36a,False,40233,8.551194,26.58345650626813,468614.0,40233,9.390654195996827e-11,0.8311924279903559,0.527829310281343,0.48948010393001
Vim,False,19309,2.1862922,64.76524151019142,119811.0,19309,2.5614285590909984e-11,0.8102852324132672,0.527806754149691,0.489447638462602
Rpl15,False,44619,14.330815,18.579952920567145,785343.0,44619,-4.386242210841007e-11,0.7317328758666667,0.526271693545351,0.488645472665769
Rpl34,False,46353,18.047243,15.415777084359771,989007.0,46353,3.574519077802751e-11,0.729171879207355,0.52574457763555,0.488258424178347
Rps20,False,48599,26.165033,11.31731172788818,1433870.0,48599,-6.635521268188276e-11,0.7457970561812298,0.525280668838898,0.486468385896835
H2-Ab1,False,50142,54.685555,8.501669677560631,2996823.0,50142,-1.6130046652289654e-10,1.0690737052373533,0.524296343499201,0.485397274747685
Rpl28,False,48146,21.062536,12.143938979215708,1154248.0,48146,-3.311441902183787e-11,0.7146254175770265,0.524051776339845,0.483561907882187
Rps21,False,47499,20.993084,13.324574369080855,1150442.0,47499,-6.569976268539491e-11,0.7245151871287401,0.523329025794493,0.482247420695902
Ppia,False,45567,16.456799,16.850057480702908,901849.0,45567,8.804507423373883e-11,0.7573662260014048,0.522796088281033,0.482023359534549
