,table
sass6,s0
slc35a3,s0
snx7,s0
slc44a3,s0
synpo2,s0
sec24d,s0
sec24b,s0
sgms2,s0
slc9b2,s0
slc9b1,s0
slc39a8,s0
stpg2,s0
selenof,s0
sh3glb1,s0
syde2,s0
ssx2ip,s0
spata1,s0
samd13,s0
st6galnac5,s0
st6galnac3,s0
slc44a5,s0
srsf11,s0
sdr16c6,s0
sdcbp,s0
slc26a7,s0
slc7a13,s0
srsf12,s0
spaca1,s0
slc35a1,s0
smim8,s0
smim27,s0
smu1,s0
spink4,s0
sigmar1,s0
stoml2,s0
sit1,s0
spag8,s0
spaar,s0
slc25a51,s0
shb,s0
stra6l,s0
sec61b,s0
stx17,s0
smc2os,s0
smc2,s0
slc44a1,s0
svep1,s0
susd1,s0
snx30,s0
slc46a2,s0
slc31a2,s0
slc31a1,s0
snapc3,s0
sh3gl2,s0
slc24a2,s0
sgip1,s0
slc35d1,s0
ssbp3,s0
slc1a7,s0
scp2,s0
spata6,s0
slc5a9,s0
skint8,s0
skint1,s0
skint4,s0
skint3,s0
skint9,s0
skint2,s0
skint10,s0
skint5,s0
stil,s0
slc6a9,s0
st3gal3,s0
szt2,s0
slc2a1,s0
svbp,s0
scmh1,s0
slfnl1,s0
smap2,s0
sf3a3,s0
snip1,s0
stk40,s0
sh3d21,s0
sfpq,s0
smim12,s0
s100pbp,s0
sync,s0
spocd1,s0
serinc2,s0
snrnp40,s0
sdc3,s0
srsf4,s0
snhg12,s0
sesn2,s0
smpdl3b,s0
stx12,s0
sytl1,s0
slc9a1,s0
sfn,s0
sh3bgrl3,s0
slc30a2,s0
stmn1,s0
selenon,s0
syf2,s0
srrm1,s0
stpg1,s0
srsf10,s0
sh2d5,s0
sdhb,s0
spata21,s0
szrd1,s0
srarp,s0
spen,s0
slc25a34,s0
srm,s0
slc25a33,s0
spsb1,s0
slc2a5,s0
slc2a7,s0
slc45a1,s0
smim1,s0
ski,s0
slc35e2,s0
ssu72,s0
sdf4,s0
samd11,s0
steap2,s0
steap1,s0
steap4,s0
sri,s0
slc25a40,s0
speer1,s0
sema3d,s0
sema3a,s0
sema3e,s0
speer4d,s0
speer4c,s0
sema3c,s0
slc26a5,s0
srpk2,s0
slc4a2,s0
smarcd3,s0
shh,s0
selenoi,s0
slc35f6,s0
slc5a6,s0
slc30a3,s0
snx17,s0
supt7l,s0
slc4a1ap,s0
slc5a1,s0
spon2,s0
slbp,s0
sh3bp2,s0
sh3tc1,s0
sorcs2,s0
stk32b,s0
stx18,s0
slc2a9,s0
slit2,s0
sod3,s0
sepsecs,s0
slc34a2,s0
sel1l3,s0
smim20,s0
stim2,s0
smim14,s0
slc30a9,s0
shisa3,s0
slain2,s0
slc10a4,s0
sgcb,s0
spata18,s0
scfd2,s0
srd5a3,s0
srp72,s0
spink2,s0
stap1,s0
sult1b1,s0
sult1d1,s0
sult1e1,s0
smr3a,s0
smr2,s0
slc4a4,s0
sdad1,s0
scarb2,s0
stbd1,s0
shroom3,s0
sowahb,s0
sept11,s0
sec31a,s0
slc10a6,s0
sparcl1,s0
spp1,s0
slc26a1,s0
srrd,s0
sez6l,s0
sgsm1,s0
sart3,s0
selplg,s0
ssh1,s0
sppl3,s0
srsf9,s0
sirt4,s0
srrm4os,s0
srrm4,s0
suds3,s0
sdsl,s0
sds,s0
slc8b1,s0
sh2b3,s0
setd1b,s0
sbno1,s0
snrnp35,s0
scarb1,s0
slc15a4,s0
stx2,s0
sfswap,s0
sumf2,s0
sbds,s0
syna,s0
stx1a,s0
styxl1,s0
srrm3,s0
ssc4d,s0
sh2b2,s0
serpine1,s0
srrt,s0
slc12a9,s0
sap25,s0
stag3,s0
sun1,s0
snx8,s0
sdk1,s0
slc29a4,s0
spdye4a,s0
smurf1,s0
slc46a3,s0
slc7a1,s0
stard13,s0
samd9l,s0
sgce,s0
slc25a13,s0
sem1,s0
sdhaf3,s0
st7,s0
slc13a1,s0
snd1,s0
smo,s0
strip2,s0
smkr-ps,s0
ssmem1,s0
slc35b4,s0
stra8,s0
slc23a4,s0
slc13a4,s0
svopl,s0
slc37a3,s0
ssbp1,s0
sval2,s0
sva,s0
sspo,s0
stk31,s0
snx10,s0
skap2,s0
scrn1,s0
snca,s0
smarcad1,s0
serbp1,s0
smyd1,s0
st3gal5,s0
sftpb,s0
sh2d6,s0
suclg1,s0
sema4f,s0
slc4a5,s0
stambp,s0
spr,s0
sfxn5,s0
smyd5,s0
snrpg,s0
snrnp27,s0
sec61a1,s0
slc41a3,s0
slc6a6,s0
slc25a26,s0
suclg2,s0
shq1,s0
setmar,s0
sumf1,s0
ssu2,s0
srgap3,s0
setd5,s0
sec13,s0
slc6a11,s0
slc6a1,s0
syn2,s0
slc25a18,s0
slc6a13,s0
slc6a12,s0
slc2a3,s0
spsb2,s0
scnn1a,s0
styk1,s0
smim10l1,s0
smco3,s0
strap,s0
slc15a5,s0
slco1c1,s0
slco1a4,s0
slco1a6,s0
slco1a5,s0
spx,s0
sult6b2,s0
st8sia1,s0
sox5,s0
sox5os3,s0
sspn,s0
stk38l,s0
smco2,s0
syt5,s0
shisa7,s0
ssc5d,s0
sbk2,s0
sbk3,s0
smim17,s0
slc27a5,s0
selenow,s0
slc8a2,s0
sae1,s0
slc1a5,s0
strn4,s0
sympk,s0
