,table
dsg1a,d
dsg1b,d
dsg4,d
dsg2,d
dtna,d
dnajc18,d
dnd1,d
diaph1,d
dpysl3,d
dcp2,d
dtwd2,d
dmxl1,d
dctn4,d
d730045a05rik,d
dym,d
dok6,d
doc2g,d
dpp3,d
drap1,d
dpf2,d
dnajc4,d
dagla,d
ddb1,d
dtx4,d
d030056l22rik,d
dock8,d
dmrt3,d
dmrt2,d
dkk1,d
dntt,d
dnmbp,d
dusp5,d
dclre1a,d
wdr75,w
wdr12,w
wnt6,w
wnt10a,w
wdfy1,w
wdr64,w
wdr26,w
wdr5,w
wdr34,w
wdr38,w
wdsub1,w
wipf1,w
wt1os,w
wt1,w
wdr76,w
wisp2,w
wfdc5,w
wfdc12,w
wfdc15a,w
wfdc15b,w
wfdc2,w
wfdc6a,w
wfdc16,w
wfdc9,w
wfdc10,w
wfdc11,w
wfdc13,w
wfdc3,w
wdr45,w
was,w
wdr13,w
wdr44,w
wnk3,w
wwtr1,w
wdr49,w
wars2,w
wdr3,w
wnt2b,w
wdr77,w
wdr47,w
wdr63,w
wls,w
wwp1,w
wdr31,w
whrn,w
wincr1,w
wdr78,w
wasf2,w
wdtc1,w
wnt4,w
wrap73,w
wdr86,w
wfs1,w
wdr1,w
wdr19,w
wdfy3,w
wscd2,w
wsb2,w
wdr66,w
wbscr25,w
wipi2,w
wasf3,w
wdr95,w
wnt2,w
wnt16,w
wasl,w
wdr91,w
wee2,w
wipf3,w
wbp1,w
wdr54,w
wnt7a,w
washc2,w
wnt5b,w
wnk1,w
wbp11,w
wdr62,w
wtip,w
wdr93,w
wdr73,w
whamm,w
wnt11,w
wee1,w
wdr11,w
wisp3,w
wasf1,w
wdr18,w
washc4,w
washc3,w
wif1,w
wrn,w
wwc2,w
wdr17,w
wdr83,w
wdr83os,w
wwp2,w
wdr59,w
wwox,w
wfdc1,w
wnt5a,w
wdfy4,w
wapl,w
wdhd1,w
wdfy2,w
wbp4,w
wdr61,w
wdr72,w
wdr82,w
wdr6,w
wdr48,w
wap,w
wdr92,w
wdpcp,w
wwc1,w
wnt9a,w
wrap53,w
wscd1,w
wdr81,w
wsb1,w
wfdc17,w
wfdc18,w
wfdc21,w
wfikkn2,w
wipf2,w
wnk4,w
wnt9b,w
wnt3,w
wipi1,w
wbp2,w
wdr45b,w
wdr37,w
wrnip1,w
wnk2,w
wdr41,w
wdcp,w
wdr35,w
wdr89,w
wars,w
wdr25,w
wdr20,w
wdr60,w
wdr70,w
wdyhv1,w
washc5,w
wisp1,w
wbp2nl,w
wnt7b,w
wnt10b,w
wnt1,w
wdr53,w
wdr5b,w
wrb,w
wtap,w
wdr27,w
wdr24,w
wdr90,w
wfikkn1,w
wdr4,w
wiz,w
wdr46,w
washc1,w
wdr43,w
wac,w
wdr33,w
wdr36,w
wnt8a,w
wdr55,w
wdr7,w
wdr74,w
wnt8b,w
wbp1l,w
fam135a,f
fam168b,f
fer1l5,f
fam178b,f
fhl2,f
fam126b,f
fzd7,f
fam117b,f
fastkd2,f
fzd5,f
fn1,f
fev,f
farsb,f
fam124b,f
fbxo36,f
farp2,f
fam174a,f
fcamr,f
fcmr,f
fam72a,f
f730311o21rik,f
fmod,f
f13b,f
fam129a,f
fam163a,f
fam20b,f
fasl,f
fmo4,f
fmo1,f
fmo2,f
fmo6,f
fmo3,f
f5,f
fam78b,f
fcrlb,f
fcrla,f
fcgr2b,f
fcgr4,f
fcgr3,f
fcer1g,f
f11r,f
fcrl6,f
fcer1a,f
fmn2,f
fh1,f
fbxo28,f
flvcr1,f
fam71a,f
fam171a1,f
fam107b,f
frmd4a,f
fbxo18,f
fam166a,f
fut7,f
fbxw5,f
fcnaos,f
fcna,f
fam69b,f
fam163b,f
fcnb,f
f730016j06rik,f
fnbp1,f
fubp3,f
fibcd1,f
fam78a,f
fam102a,f
fpgs,f
fam129b,f
fbxw2,f
fmnl2,f
fap,f
fign,f
fastkd1,f
fkbp7,f
frzb,f
fam171b,f
fnbp4,f
f2,f
fjx1,f
fbxo3,f
fibin,f
fmn1,f
fam98b,f
fsip1,f
frmd5,f
fbn1,f
fam227b,f
fgf7,f
fahd2a,f
fbln7,f
f830045p16rik,f
fastkd5,f
fermt1,f
flrt3,f
foxa2,f
fkbp1a,f
fam110a,f
foxs1,f
fam83c,f
fer1l4,f
fam83d,f
fitm2,f
fam210b,f
fam209,f
fam217b,f
fndc11,f
flicr,f
foxp3,f
ftsj1,f
fundc1,f
frmd7,f
fam122b,f
fhl1,f
fgf13,f
f9,f
fmr1os,f
fmr1,f
fmr1nb,f
fate1,f
f8a,f
flna,f
fam50a,f
fam3a,f
f8,f
fundc2,f
fam90a1b,f
f630028o10rik,f
foxo4,f
ftx,f
fgf16,f
fnd3c2,f
fndc3c1,f
fam46d,f
fam199x,f
frmpd3,f
fgd1,f
fam120c,f
fancb,f
frmpd4,f
fabp5,f
fabp9,f
fabp4,f
fabp12,f
fndc3b,f
fxr1,f
fgf2os,f
fgf2,f
fat4,f
foxo1,f
frem2,f
fstl5,f
fnip2,f
fam198b,f
fgg,f
fga,f
fgb,f
fhdc1,f
fbxw7,f
fam160a1,f
fcrls,f
fcrl1,f
fcrl5,f
fdps,f
fam189b,f
flad1,f
flg,f
fcgr1,f
fmo5,f
fam46c,f
fam19a3,f
fam212b,f
fndc7,f
fam102b,f
frrs1,f
f3,f
fnbp1l,f
fabp2,f
fam241a,f
fubp1,f
fpgt,f
fam110b,f
fsbp,f
fam92a,f
faxc,f
fbxl4,f
fhl5,f
fut9,f
fam219aos,f
fam219a,f
fam205a4,f
fam205a3,f
fam205a2,f
fam205a1,f
fam205c,f
fancg,f
fam214b,f
fam166b,f
fam221b,f
fbxo10,f
frmpd1,f
frmpd1os,f
foxe1,f
fsd1l,f
fktn,f
fam206a,f
frrs1l,f
fkbp15,f
frmd3,f
frem1,f
focad,f
fggy,f
foxd3,f
fyb2,f
fam151a,f
fam159a,f
faf1,f
foxd2,f
foxe3,f
faah,f
frg2f1,f
foxj3,f
foxo6,f
fhl3,f
fndc5,f
fam229a,f
fam167b,f
fabp3,f
fam76a,f
fgr,f
fam46b,f
fuca1,f
fam43b,f
fbxo42,f
fam131c,f
fblim1,f
fhad1os2,f
fhad1,f
fv1,f
fbxo6,f
fbxo44,f
fbxo2,f
fam213b,f
faap20,f
fndc10,f
fam133b,f
fzd1,f
fgl2,f
fam185a,f
fbxl13,f
fam126a,f
fastk,f
fndc4,f
fosl2,f
fam53a,f
fgfr3,f
fam193a,f
fbxl5,f
fgfbp1,f
fam184b,f
fam114a1,f
fryl,f
fip1l1,f
fam47e,f
fras1,f
fgf5,f
fam69a,f
fgfrl1,f
fbrsl1,f
ficd,f
fam222a,f
fbxo21,f
fbxw8,f
fam109a,f
fam216a,f
fzd10,f
fzd9,f
fkbp6,f
fis1,f
fbxo24,f
fam20c,f
foxk1,f
fbxl18,f
fscn1,f
fam220a,f
flt3,f
flt1,f
fry,f
foxp2,f
fam3c,f
fscn3,f
fam71f2,f
flnc,f
fam180a,f
fmc1,f
fam131b,f
fam221a,f
fkbp14,f
fkbp9,f
fam13a,f
foxi3,f
fabp1,f
fbxo41,f
figla,f
fam136a,f
fbln2,f
fgd5,f
fam19a1,f
fam19a4,f
frmd4b,f
foxp1,f
fancd2,f
fancd2os,f
fxyd4,f
fbxl14,f
foxj2,f
fgf6,f
fgf23,f
foxm1,f
fkbp4,f
fam234b,f
fgfr1op2,f
far2,f
far2os1,f
fam60a,f
fam71e2,f
fiz1,f
fkrp,f
foxa3,f
fbxo46,f
fosb,f
fcgbp,f
fbl,f
fbxo27,f
fbxo17,f
fam98c,f
ffar2,f
ffar3,f
ffar1,f
fam187b,f
fxyd5,f
fxyd7,f
fxyd1,f
fxyd3,f
faap24,f
fam71e1,f
fuz,f
fcgrt,f
flt3l,f
ftl1,f
fgf21,f
fut1,f
fut2,f
fam83e,f
fancf,f
fan1,f
fam189a1,f
fam169b,f
fam174b,f
fanci,f
fes,f
furin,f
fsd2,f
fam103a1,f
fah,f
folh1,f
fzd4,f
fam181b,f
fam168a,f
fchsd2,f
folr2,f
folr1,f
fam160a2,f
far1,f
far1os,f
fam57b,f
fbrs,f
fbxl19,f
fus,f
fgfr2,f
fam24b,f
fam24a,f
fam53b,f
fank1,f
fam196a,f
foxi2,f
fuom,f
faddos,f
fadd,f
fgf3,f
fgf4,f
fgf15,f
fbxo5,f
fbxo30,f
fuca2,f
fam26d,f
fam26e,f
fam26f,f
frk,f
fam229b,f
fyn,f
fig4,f
foxo3,f
f930017d23rik,f
fam162b,f
fam184a,f
fabp7,f
fam241b,f
fam13c,f
ftcd,f
fam207a,f
fgf22,f
fstl3,f
fzr1,f
fhl4,f
fbxo7,f
fgd6,f
frs2,f
fam19a2,f
f420014n23rik,f
fcor,f
fcer2a,f
fam155a,f
f7,f
f10,f
fbxo25,f
fgfr1,f
fnta,f
fut10,f
fgf20,f
fgl1,f
frg1,f
fat1,f
fam149a,f
fbxo8,f
fkbp8,f
fam129c,f
fcho1,f
fam32a,f
f2rl3,f
farsa,f
fbxw9,f
fto,f
fam192a,f
fam96b,f
fbxl8,f
fhod1,f
fuk,f
fa2h,f
fam92b,f
foxf1,f
foxc2,f
foxl1,f
fbxo31,f
fanca,f
fam89a,f
flnb,f
fam107a,f
fhit,f
fhitos,f
fezf2,f
fam149b,f
fut11,f
fam208a,f
frmpd2,f
fam35a,f
fam25c,f
fam213a,f
fermt2,f
fbxo34,f
fitm1,f
fgf9,f
fam124a,f
fdft1,f
fam167a,f
fzd3,f
fam160b2,f
fgf17,f
fndc3a,f
fbxl3,f
farp1,f
fgf14,f
fam76b,f
fut4,f
fat3,f
fbxl12os,f
fbxl12,f
fdx1l,f
fli1,f
foxred1,f
fam118b,f
fez1,f
foxr1,f
fxyd6,f
fxyd2,f
fdxacb1,f
fdx1,f
fbxo22,f
fam219b,f
fem1b,f
fam96a,f
fbxl22,f
foxb1,f
fam81a,f
fam214a,f
fam83b,f
fbxo9,f
filip1,f
fam46a,f
foxl2,f
faim,f
fam212a,f
fbxw21,f
fbxw13,f
fbxw22,f
fbxw16,f
fbxw19,f
fbxw25,f
fam240a,f
fbxl2,f
fam198a,f
fyco1,f
fignl1,f
fbxo48,f
fam161a,f
fancl,f
fbxw11,f
fgf18,f
foxi1,f
fam196b,f
fbll1,f
fabp6,f
fndc9,f
fam71b,f
flt4,f
fstl4,f
fnip1,f
fat2,f
fam114a2,f
fam183b,f
flcn,f
flii,f
fam83g,f
fbxw10,f
f930015n05rik,f
fxr2,f
fgf11,f
fbxo39,f
fam57a,f
flot2,f
fam222b,f
foxn1,f
fam58b,f
fndc8,f
fam117a,f
fbxo47,f
fbxl20,f
fkbp10,f
fam171a2,f
fzd2,f
fmnl1,f
ftsj3,f
fam20a,f
fam104a,f
fdxr,f
fads6,f
fbf1,f
foxj1,f
fscn2,f
faap100,f
fasn,f
foxk2,f
fn3krp,f
fn3k,f
fam208b,f
foxq1,f
foxf2,f
foxc1,f
fam50b,f
fam217a,f
fars2,f
f13a1,f
fam8a1,f
fam120a,f
fam120aos,f
fgd3,f
fbxw17,f
faf2,f
fgfr4,f
f12,f
fam193b,f
fbxl21,f
fbp2,f
fbp1,f
fancc,f
f630042j09rik,f
fastkd3,f
ftl1-ps1,f
fam81b,f
fam172a,f
fam151b,f
f2rl1,f
f2r,f
f2rl2,f
fam169a,f
foxd1,f
fcho2,f
fam159b,f
fst,f
fgf10,f
fam228a,f
fam228b,f
fkbp1b,f
fam49a,f
fam84a,f
fam110c,f
foxg1,f
fam177a,f
foxa1,f
fbxo33,f
fkbp3,f
fancm,f
f730035m05rik,f
frmd6,f
fntb,f
fut8,f
fam71d,f
fam161b,f
fcf1,f
fos,f
flvcr2,f
flrt2,f
foxn3,f
fbln5,f
fbxo4,f
fyb,f
fbxl7,f
fam105a,f
fam173b,f
fbxo43,f
fzd6,f
fam83a,f
fbxo32,f
fam91a1,f
fer1l6,f
fam84b,f
fam49b,f
fam135b,f
fam83h,f
fbxl6,f
foxh1,f
foxred2,f
fam227a,f
fam83f,f
fam109b,f
fam118a,f
fbln1,f
fam19a5,f
fkbp11,f
fam186b,f
fmnl3,f
faim2,f
fam186a,f
fignl2,f
fopnl,f
fgd4,f
fam131a,f
fetub,f
fgf12,f
fam43a,f
fbxo45,f
fyttd1,f
fam162a,f
fbxo40,f
fstl1,f
filip1l,f
fam3b,f
fndc1,f
fgfr1op,f
fam120b,f
fpr1,f
fpr2,f
flywch1,f
flywch2,f
fahd1,f
fam173a,f
fbxl16,f
fam234a,f
fance,f
fkbp5,f
fgd2,f
fkbpl,f
flot1,f
f630040k05rik,f
frs3,f
foxp4,f
fsd1,f
fem1a,f
fbxl17,f
fer,f
fam98a,f
fez2,f
fbxo11,f
foxn2,f
fshr,f
fzd8,f
fhod3,f
fam13b,f
fam53c,f
fchsd1,f
fgf1,f
fem1c,f
fam170a,f
fbn2,f
f830016b08rik,f
fbxo38,f
fech,f
fam210a,f
fam69c,f
fbxo15,f
fosl1,f
fibp,f
fam89b,f
frmd8os,f
frmd8,f
fau,f
fkbp2,f
fermt3,f
flrt1,f
fth1,f
fads3,f
fads2,f
fads1,f
fen1,f
fam111a,f
fam189a2,f
fxn,f
fam122a,f
foxd4,f
fas,f
f530104d19rik,f
fgfbp3,f
ffar4,f
fra10ac1,f
frat1,f
frat2,f
fbxw4,f
fgf8,f
fbxl15,f
fam160b1,f
fam204a,f
fam45a,f
yod1,y
yme1l1,y
ypel4,y
ywhab,y
ythdf1,y
yipf6,y
ythdf3,y
yipf1,y
ybx1,y
yrdc,y
yars,y
ythdf2,y
yes1,y
ywhah,y
yipf7,y
ythdc1,y
ywhag,y
ybx3,y
yif1b,y
ypel3,y
ybey,y
yeats4,y
yjefn3,y
yap1,y
yipf2,y
ykt6,y
ybx2,y
ywhae,y
ypel2,y
yae1d1,y
ywhaq,y
ylpm1,y
yy1,y
ywhaz,y
yaf2,y
yars2,y
ypel1,y
ydjc,y
yeats2,y
yipf3,y
ypel5,y
yipf4,y
yipf5,y
ythdc2,y
yif1a,y
vcpip1,v
vwa3b,v
vil1,v
vps4b,v
vamp4,v
vangl2,v
vsig8,v
vash2,v
vim,v
vav2,v
vps18,v
vps39,v
vps16,v
vsx1,v
vstm2l,v
vapb,v
vma21,v
vbp1,v
vsig4,v
vsig1,v
vegfd,v
vmn2r1,v
veph1,v
vps72,v
vps45,v
vtcn1,v
vangl1,v
vav3,v
vcam1,v
virma,v
vcp,v
vma21-ps,v
vps13d,v
vamp3,v
vwa1,v
vsig10,v
vps29,v
vps33a,v
vps37b,v
vkorc1l1,v
vps37d,v
vgf,v
vmn2r18,v
vps50,v
vmn1r4,v
vmn1r5,v
vmn1r12,v
vmn1r16,v
vmn1r18,v
vmn1r20,v
vopp1,v
vmn1r21,v
vmn1r32,v
vamp5,v
vamp8,v
vax2os,v
vax2,v
vmn1r41,v
vmn1r43,v
vmn1r45,v
vmn1r47,v
vhl,v
vgll4,v
vmn2r26,v
vamp1,v
vwf,v
vmn2r29,v
vmn2r46,v
vmn1r76,v
vmn1r81,v
vmn1r86,v
vmn1r90,v
vasp,v
vmn1r172,v
vmn1r173,v
vmn1r181,v
vstm2b,v
vmn2r57,v
vsig10l,v
vrk3,v
vps33b,v
vmn2r65,v
vwa3a,v
vkorc1,v
vip,v
vta1,v
vnn3,v
vnn1,v
vsir,v
vps26a,v
vpreb3,v
vezt,v
vmn2r84,v
vps36,v
vdac3,v
vps37a,v
vegfc,v
vps35,v
vps4a,v
vac14,v
vat1l,v
vps9d1,v
vcl,v
vdac2,v
vstm4,v
vmn2r89,v
vwa8,v
vstm5,v
vps26b,v
vsig2,v
vwa5a,v
vps11,v
vps13c,v
vill,v
vipr1,v
vwc2,v
vstm2a,v
vps54,v
vrk2,v
vdac1,v
vamp2,v
vmo1,v
vps53,v
vtn,v
vmp1,v
vezf1,v
vps25,v
vat1,v
vps41,v
vmn1r188,v
vmn1r195,v
vmn1r200,v
vmn1r202,v
vmn1r203,v
vmn1r210,v
vmn1r214,v
vmn1r218,v
vcan,v
vsnl1,v
vcpkmt,v
vti1b,v
vsx2,v
vrtn,v
vash1,v
vipas39,v
vrk1,v
vipr2,v
vps13b,v
vps28,v
vdr,v
vasn,v
vpreb1,v
vpreb2,v
vwa5b2,v
vps8,v
vgll3,v
vmn2r90,v
vmn2r124,v
vmn2r95,v
vmn2r96,v
vmn2r97,v
vmn2r100,v
vps52,v
vars,v
vwa7,v
vars2,v
vegfa,v
vmac,v
vav1,v
vapa,v
vit,v
vps51,v
vegfb,v
vwce,v
vps37c,v
vps13a,v
vldlr,v
vti1a,v
vwa2,v
vax1,v
vamp7,v
vmn2r122,v
eya1,e
eloc,e
efhc1,e
eif5b,e
ercc5,e
eef1b2,e
erbb4,e
epha4,e
ecel1,e
eif4e2,e
efhd1,e
efhd1os,e
espnl,e
erfe,e
epb41l5,e
en1,e
eif2d,e
elk4,e
etnk2,e
elf3,e
edem3,e
exo1,e
efcab2,e
ephx1,e
enah,e
eprs,e
esrrg,e
echdc3,e
e030013i19rik,e
etl4,e
enkur,e
ehmt1,e
entpd2,e
edf1,e
egfl7,e
endog,e
exosc2,e
eng,e
epc2,e
ermn,e
erich2os,e
erich2,e
ext2,e
ehf,e
elf5,e
eif3m,e
elp4,e
emc4,e
emc7,e
eif2ak4,e
exd1,e
ehd4,e
epb42,e
ell3,e
eif3j1,e
eid1,e
ebf4,e
erv3,e
esf1,e
entpd6,e
efcab8,e
e2f1,e
eif2s2,e
edem2,e
eif6,e
ergic3,e
epb41l1,e
emilin3,e
elmo2,e
eya2,e
e130018n17rik,e
edn3,e
eef1a2,e
eras,e
ebp,e
efhc2,e
elk1,e
elf4,e
enox2,e
emd,e
eif2s3x,e
eda2r,e
efnb1,e
eda,e
ercc6l,e
esx1,e
eif2c5,e
eif1ax,e
egfl6,e
e2f5,e
ect2,e
eif5a2,e
egfem1,e
exosc9,e
elf2,e
exosc8,e
eif2a,e
erich6,e
e130311k13rik,e
etfdh,e
etv3,e
efna1,e
efna3,e
efna4,e
ensa,e
ecm1,e
eps8l3,e
extl2,e
enpep,e
elovl6,e
egf,e
etnppl,e
emcn,e
eif4e,e
erich3,e
esrp1,e
epha7,e
enho,e
exosc3,e
erp44,e
epb41l4b,e
e130308a19rik,e
elavl2,e
eqtn,e
e130114p18rik,e
efcab7,e
e130102h24rik,e
echdc2,e
eps15,e
elavl4,e
efcab14,e
eif2b3,e
eri3,e
elovl1,e
ebna1bp2,e
ermap,e
edn2,e
exo5,e
epha10,e
eva1b,e
eif3i,e
e330017l17rik,e
epb41,e
eya3,e
e130218i03rik,e
extl1,e
eloa,e
e2f2,e
ephb2,e
epha8,e
ece1,e
eif4g3,e
emc1,e
epha2,e
efhd2,e
exosc10,e
eno1,e
errfi1,e
espn,e
e130116l18rik,e
en2,e
emilin1,e
eif2b4,e
evc,e
evc2,e
exoc1,e
epha5,e
enam,e
epgn,e
ereg,e
enoph1,e
ephx4,e
evi5,e
ep400,e
e130006d01rik,e
erp29,e
eif2b1,e
eif4h,e
eln,e
ephb4,e
epo,e
elfn1,e
eif3b,e
e130309d02rik,e
eif2ak1,e
exoc4,e
e330009j07rik,e
ephb6,e
epha1,e
ezh2,e
evx1os,e
evx1,e
eif2ak3,e
elmod3,e
eva1a,e
exoc6b,e
egr4,e
efcc1,e
eefsec,e
eogt,e
eif4e3,e
edem1,e
emc3,e
efcab12,e
erc1,e
emg1,e
eno2,e
etv6,e
emp1,e
e330021d16rik,e
erp27,e
eps8,e
etnk1,e
etfrf1,e
ergic2,e
etfbkmt,e
eps8l1,e
epn1,e
epp13,e
ehd2,e
eml2,e
ercc1,e
ercc2,e
exoc3l2,e
ethe1,e
erf,e
erich4,e
exosc5,e
egln2,e
eid2,e
eid2b,e
ech1,e
eif3k,e
e130208f15rik,e
etv2,e
e130304i02rik,e
etfb,e
emc10,e
emp3,e
e2f8,e
e030018b13rik,e
efl1,e
eed,e
emsy,e
eif3f,e
eif4g2,e
eri2,e
eef2k,e
ears2,e
ern2,e
eif3c,e
e430018j23rik,e
etos1,e
eef1akmt2,e
edrf1,e
ebf3,e
echs1,e
eps8l2,e
e230032d23rik,e
esr1,e
epm2a,e
ect2l,e
e030030i06rik,e
eya4,e
enpp1,e
enpp3,e
epb41l2,e
echdc1,e
e130307a14rik,e
edar,e
eif4ebp2,e
egr2,e
elane,e
efna2,e
eef2,e
eid3,e
e230014e18rik,e
elk3,e
eea1,e
epyc,e
e2f7,e
eef1akmt3,e
esyt1,e
erbb3,e
evi5l,e
elavl1,e
efnb2,e
erich1,e
erlin2,e
eif4ebp1,e
eri1,e
enpp6,e
e330018m18rik,e
e030037k01rik,e
ell,e
eps15l1,e
ednra,e
elmod2,e
exoc3l,e
e2f4,e
elmo3,e
enkd1,e
edc4,e
esrp2,e
emc8,e
exoc8,e
egln1,e
ecd,e
erc2,e
eaf1,e
ercc6,e
ear1,e
ear2,e
ero1l,e
exoc5,e
eddm3b,e
ear14,e
ear6,e
efs,e
emc9,e
eef1akmt1,e
ebpl,e
extl3,e
elp3,e
esco2,e
ephx2,e
ebf2,e
entpd4,e
entpd4b,e
egr3,e
esd,e
e130202h07rik,e
enox1,e
epsti1,e
elf1,e
ednrb,e
endod1,e
eif3g,e
epor,e
elavl3,e
ecsit,e
elof1,e
eepd1,e
ets1,e
ei24,e
esam,e
exph5,e
elmod1,e
etfa,e
edc3,e
elovl5,e
eef1a1,e
elovl4,e
esyt3,e
ephb1,e
elp6,e
epm2aip1,e
eomes,e
exog,e
eif1b,e
entpd3,e
e530011l22rik,e
exosc7,e
eif4enif1,e
ewsr1,e
emid1,e
egfr,e
egfros,e
etaa1,e
etaa1os,e
ehbp1,e
efemp1,e
eml6,e
erlec1,e
efcab9,e
ebf1,e
epn2,e
elac2,e
efnb3,e
eif4a1,e
eif5a,e
elp5,e
eno3,e
emc6,e
efcab5,e
eral1,e
evi2,e
evi2b,e
evi2a,e
epx,e
elobl,e
epn3,e
eme1,e
epop,e
erbb2,e
eif1,e
ezh1,e
etv4,e
e130111b04rik,e
eftud2,e
efcab3,e
ern1,e
evpl,e
exoc7,e
engase,e
eif4a3,e
endov,e
edaradd,e
ero1lb,e
epdr1,e
elmo1,e
e2f3,e
exoc2,e
eci3,e
eci2,e
eef1e1,e
elovl2,e
edn1,e
ecm2,e
etohd2,e
ercc6l2,e
exoc3,e
e430024i08rik,e
erap1,e
ell2,e
edil3,e
enc1,e
erbin,e
ercc8,e
elovl7,e
esm1,e
emb,e
efr3b,e
e2f6,e
eipr1,e
efcab10,e
etv1,e
egln3,e
eapp,e
esr2,e
eif2s1,e
exd2,e
erh,e
elmsan1,e
entpd5,e
eif2b2,e
erg28,e
esrrb,e
eml5,e
efcab11,e
eml1,e
evl,e
exoc3l4,e
eif5,e
esyt2,e
egflam,e
erich5,e
eif3e,e
emc2,e
eny2,e
ebag9,e
eif3h,e
ext1,e
enpp2,e
efr3a,e
eef1d,e
eppk1,e
exosc4,e
eif3d,e
elfn2,e
eif3l,e
enthd1,e
ep300,e
efcab6,e
endou,e
eif4b,e
espl1,e
eef2kmt,e
emp2,e
ercc4,e
efcab1,e
eif2b5,e
eef1akmt4,e
ece2,e
eif4g1,e
ephb3,e
ehhadh,e
etv5,e
eif4a2,e
eaf2,e
epha6,e
epha3,e
eva1c,e
erg,e
ets2,e
ezr,e
e430024p14rik,e
ermard,e
elob,e
eci1,e
e4f1,e
eme2,e
ergic1,e
e230001n04rik,e
ephx3,e
egfl8,e
ehmt2,e
esp18,e
esp8,e
esp6,e
esp4,e
enpp5,e
enpp4,e
efhb,e
ebi3,e
efna5,e
epb41l3,e
emilin2,e
ehd3,e
eif2ak2,e
eml4,e
epas1,e
epcam,e
eif2s3y,e
epc1,e
esco1,e
elp2,e
ercc3,e
epb41l4aos,e
epb41l4a,e
egr1,e
etf1,e
ecscr,e
eif4ebp3,e
e230025n22rik,e
eif3j2,e
eif1a,e
eno1b,e
elac1,e
epg5,e
eif1ad,e
efemp2,e
ehbp1l1,e
ehd1,e
esrra,e
eml3,e
eef1g,e
ermp1,e
exoc6,e
entpd1,e
e030044b06rik,e
exosc1,e
entpd7,e
erlin1,e
elovl3,e
eno4,e
emx2os,e
emx2,e
e330013p04rik,e
eif3a,e
oprk1,o
ogfrl1,o
ormdl1,o
osgepl1,o
orc2,o
obsl1,o
olfr12,o
otos,o
optc,o
olfml2b,o
olfr433,o
olfr432,o
olfr231,o
olfr417,o
olfr414,o
opn3,o
olah,o
optn,o
otud1,o
olfm1,o
odf2,o
olfr338,o
olfr344,o
olfr365,o
olfr366,o
olfr368,o
olfml2a,o
orc4,o
ola1,o
osbpl6,o
olfr987,o
olfr1028,o
olfr1029,o
olfr1033,o
olfr1034,o
olfr1036,o
olfr259,o
olfr1122,o
olfr1124,o
olfr1152,o
olfr1173,o
olfr1238,o
olfr1247,o
olfr1256,o
olfr48,o
olfr1257,o
olfr1258,o
olfr1259,o
olfr1260,o
olfr1274-ps,o
olfr1279,o
olfr1313,o
oip5,o
oxt,o
otor,o
ovol2,o
oser1,o
ocstamp,o
osbpl2,o
ogfr,o
oprl1,o
otud5,o
otc,o
ocrl,o
opn1mw,o
obp1a,o
ophn1,o
ogt,o
ofd1,o
oaz3,o
otud7b,o
olfml3,o
ovgp1,o
olfr266,o
ostc,o
odf2l,o
otud6b,o
osgin2,o
orc3,o
olfr70,o
olfr71,o
olfr156,o
olfr157,o
olfr273,o
olfr267,o
orm1,o
orm3,o
orm2,o
oma1,o
orc1,o
osbpl9,o
olfr62,o
olfr1342,o
olfr1341,o
olfr1330,o
olfr1328,o
oxct2b,o
oxct2a,o
oscp1,o
oprd1,o
otud3,o
orc5,o
otof,o
ost4,o
otop1,o
ociad1,o
ociad2,o
odam,o
odaph,o
oasl2,o
oasl1,o
oas2,o
oas3,o
oas1e,o
oas1c,o
oas1g,o
oas1a,o
oas1d,o
orai1,o
ogfod2,o
orai2,o
olfr718-ps1,o
ocm,o
opn1sw,o
olfr461,o
olfr460,o
olfr459,o
olfr457,o
olfr456,o
olfr455,o
osbpl3,o
oxtr,o
ogg1,o
olfr212,o
olfr215,o
olr1,o
oscar,o
olfr1336,o
olfr5,o
olfr1349,o
opa3,o
ovol3,o
oca2,o
otud7a,o
omp,o
olfr520,o
olfr521,o
olfr543,o
olfr544,o
olfr545,o
olfr549,o
olfr552,o
olfr557,o
olfr558,o
olfr33,o
olfr78,o
olfr560,o
olfr613,o
olfr624,o
olfr67,o
olfr632,o
olfr633,o
olfr642,o
olfr646,o
olfm5,o
olfr648,o
olfr655,o
olfr658,o
olfr671,o
olfr691,o
olfr692,o
olfr715b,o
olfr715,o
olfr716,o
olfml1,o
olfr479,o
olfr482,o
olfr509,o
otoa,o
orai3,o
oat,o
olfr523,o
olfr524,o
olfr525,o
olfr527,o
olfr60,o
olfr530,o
olfr531,o
olfr46,o
olfr539,o
olfr45,o
olfr541,o
osbpl5,o
oraov1,o
oprm1,o
olig3,o
ostm1,o
oit3,o
olfr1356,o
olfr1352,o
olfr57,o
onecut3,o
oaz1,o
otogl,o
osbpl8,o
os9,o
ormdl2,o
olfr9,o
olfr767,o
olfr775,o
olfr784,o
olfr810,o
olfr814,o
ocel1,o
olfr373,o
olfr374,o
otud4,o
orc6,o
ogfod1,o
osgin1,o
oit1,o
olfr721-ps1,o
oxsm,o
oxnad1,o
ogdhl,o
olfr731,o
olfr732,o
olfr733,o
olfr734,o
olfr735,o
olfr736,o
olfr742,o
olfr748,o
osgep,o
olfr750,o
olfr221,o
olfr1513,o
olfr1508,o
olfr1507,o
olfr49,o
oxa1l,o
olfm4,o
oxgr1,o
olfr830,o
olfr832,o
