,table
mrm3,m
myo18a,m
myo1d,m
mmp28,m
mrm1,m
myo19,m
med13,m
mtmr4,m
mpo,m
mks1,m
mrps23,m
msi2,m
mmd,m
mbtd1,m
mycbpap,m
mrpl27,m
mrpl10,m
mrpl45,m
mllt6,m
med1,m
mien1,m
med24,m
msl1,m
mlx,m
meox1,m
mpp3,m
mpp2,m
map3k14,m
mapt,m
myl4,m
mettl2,m
mrc2,m
map3k3,m
milr1,m
map2k6,m
mrpl58,m
mrps7,m
mif4gd,m
myo15b,m
mrpl38,m
mxra7,m
mettl23,m
mfsd11,m
mrpl12,m
mcrip1,m
mafg,m
myadml2,m
metrnl,m
mtr,m
mrpl32,m
mplkip,m
mrs2,m
mboat1,m
mak,m
mcur1,m
mylip,m
msx2,m
mxd3,m
mfsd14b,m
mterf3,m
mtrr,m
med10,m
mrpl36,m
mctp1,m
mblac2,m
mef2c,m
msh3,m
mtx3,m
mrps27,m
map1b,m
mccc2,m
marveld2,m
mrps36,m
mast4,m
mier3,m
map3k1,m
mocs2,m
mrps30,m
mfsd2b,m
mycn,m
mboat2,m
meox2,m
mbip,m
mipol1,m
mia2,m
mis18bp1,m
mdga2,m
mgat2,m
map4k5,m
mnat1,m
mthfd1,m
max,m
med6,m
map3k9,m
mlh3,m
moap1,m
mok,m
mark3,m
mta1,m
macc1,m
mtmr12,m
myo10,m
mtdh,m
matn2,m
med30,m
mal2,m
mrpl13,m
mtbp,m
mtss1,m
myc,m
mafa,m
mapk15,m
maf1,m
mroh1,m
mfsd3,m
myh9,m
mpst,m
mfng,m
micall1,m
maff,m
mgat3,m
mief1,m
mcat,m
mapk12,m
mapk11,m
mcrs1,m
mettl7a1,m
mfsd5,m
myg1,m
map3k12,m
mucl1,m
mucl2,m
mefv,m
mgrn1,m
mettl22,m
mpv17l,m
marf1,m
myh11,m
mcm4,m
mzt2,m
mapk1,m
med15,m
mrpl40,m
map6d1,m
map3k13,m
masp1,m
mb21d2,m
meltf,m
muc20,m
muc13,m
mylk,m
morc1,m
myh15,m
mrpl39,m
map3k7cl,m
mis18a,m
mrps6,m
morc3,m
mx1,m
mpc1,m
map3k4,m
mrpl18,m
mmp25,m
mlst8,m
msrb1,m
meiob,m
mapk8ip3,m
mrps34,m
metrn,m
mcrip2,m
mettl26,m
mrpl28,m
mapk14,m
mapk13,m
mtch1,m
mdga1,m
myo1f,m
msh5,m
mdc1,m
mrps18b,m
mrpl14,m
mrps18a,m
mad2l1bp,m
mrpl2,m
mea1,m
mrps10,m
med20,m
mdfi,m
mocs1,m
mpnd,m
mydgf,m
mllt1,m
man2a1,m
mtcl1,m
myl12b,m
myl12a,m
myom1,m
memo1,m
morn2,m
map4k3,m
mta3,m
mcfd2,m
msh2,m
msh6,m
mettl4,m
map3k8,m
mtpap,m
mkx,m
mpp7,m
mib1,m
mapre2,m
mocos,m
map3k2,m
matr3,m
mzb1,m
mcc,m
malt1,m
mppe1,m
mc5r,m
mbd2,m
mex3c,m
me2,m
mapk4,m
mbd1,m
myo5b,m
mbp,m
mrpl21,m
mrpl11,m
mus81,m
map3k11,m
mrpl49,m
men1,m
map4k2,m
macrod1,m
mark2,m
mta2,m
myrf,m
ms4a10,m
ms4a8a,m
ms4a1,m
ms4a14,m
ms4a7,m
ms4a4a,m
ms4a4c,m
ms4a4b,m
ms4a6c,m
ms4a6b,m
ms4a4d,m
ms4a6d,m
ms4a2,m
ms4a3,m
mrpl16,m
mpeg1,m
mamdc2,m
minpp1,m
myof,m
mms19,m
morn4,m
marveld1,m
mrpl43,m
mfsd13a,m
mxi1,m
mt-nd1,m
mt-nd2,m
mt-co1,m
mt-co2,m
mt-atp8,m
mt-atp6,m
mt-co3,m
mt-nd3,m
mt-nd4l,m
mt-nd4,m
mt-nd5,m
mt-nd6,m
mt-cytb,m
eya1,e
eloc,e
efhc1,e
eif5b,e
ercc5,e
eef1b2,e
epha4,e
ecel1,e
eif4e2,e
efhd1,e
epb41l5,e
en1,e
eif2d,e
elk4,e
etnk2,e
elf3,e
edem3,e
exo1,e
efcab2,e
ephx1,e
enah,e
eprs,e
esrrg,e
echdc3,e
etl4,e
enkur,e
ehmt1,e
entpd2,e
edf1,e
egfl7,e
endog,e
exosc2,e
eng,e
epc2,e
ermn,e
erich2,e
ext2,e
ehf,e
elf5,e
eif3m,e
elp4,e
emc4,e
emc7,e
eif2ak4,e
exd1,e
ehd4,e
ell3,e
eif3j1,e
eid1,e
ebf4,e
erv3,e
esf1,e
entpd6,e
efcab8,e
e2f1,e
eif2s2,e
edem2,e
eif6,e
ergic3,e
epb41l1,e
elmo2,e
eya2,e
ebp,e
elk1,e
elf4,e
enox2,e
emd,e
eif2s3x,e
eda2r,e
efnb1,e
eda,e
ercc6l,e
eif1ax,e
egfl6,e
e2f5,e
ect2,e
eif5a2,e
exosc9,e
elf2,e
exosc8,e
eif2a,e
e130311k13rik,e
etfdh,e
etv3,e
efna1,e
efna3,e
efna4,e
ensa,e
ecm1,e
eps8l3,e
extl2,e
enpep,e
elovl6,e
egf,e
emcn,e
eif4e,e
esrp1,e
epha7,e
enho,e
exosc3,e
erp44,e
epb41l4b,e
e130308a19rik,e
elavl2,e
efcab7,e
echdc2,e
eps15,e
elavl4,e
efcab14,e
eif2b3,e
eri3,e
elovl1,e
ebna1bp2,e
ermap,e
exo5,e
epha10,e
eva1b,e
eif3i,e
epb41,e
eya3,e
extl1,e
eloa,e
e2f2,e
ephb2,e
epha8,e
ece1,e
eif4g3,e
emc1,e
epha2,e
efhd2,e
exosc10,e
eno1,e
errfi1,e
espn,e
en2,e
emilin1,e
eif2b4,e
evc,e
evc2,e
exoc1,e
epha5,e
enoph1,e
ephx4,e
evi5,e
ep400,e
erp29,e
eif2b1,e
eif4h,e
eln,e
ephb4,e
elfn1,e
eif3b,e
eif2ak1,e
exoc4,e
ephb6,e
epha1,e
ezh2,e
evx1,e
eif2ak3,e
elmod3,e
eva1a,e
exoc6b,e
egr4,e
efcc1,e
eefsec,e
eogt,e
eif4e3,e
edem1,e
emc3,e
efcab12,e
erc1,e
emg1,e
eno2,e
etv6,e
emp1,e
erp27,e
eps8,e
etnk1,e
etfrf1,e
ergic2,e
etfbkmt,e
eps8l1,e
epn1,e
ehd2,e
eml2,e
ercc1,e
ercc2,e
exoc3l2,e
ethe1,e
erf,e
exosc5,e
egln2,e
eid2,e
eid2b,e
ech1,e
eif3k,e
etv2,e
etfb,e
emc10,e
emp3,e
e2f8,e
e030018b13rik,e
efl1,e
eed,e
emsy,e
eif3f,e
eif4g2,e
eri2,e
eef2k,e
ears2,e
ern2,e
eif3c,e
e430018j23rik,e
eef1akmt2,e
edrf1,e
ebf3,e
echs1,e
eps8l2,e
esr1,e
epm2a,e
enpp1,e
enpp3,e
epb41l2,e
echdc1,e
eif4ebp2,e
egr2,e
elane,e
efna2,e
eef2,e
eid3,e
elk3,e
eea1,e
e2f7,e
eef1akmt3,e
esyt1,e
erbb3,e
evi5l,e
elavl1,e
efnb2,e
erich1,e
erlin2,e
eif4ebp1,e
eri1,e
enpp6,e
ell,e
eps15l1,e
ednra,e
elmod2,e
exoc3l,e
e2f4,e
elmo3,e
enkd1,e
edc4,e
esrp2,e
emc8,e
exoc8,e
egln1,e
ecd,e
eaf1,e
ercc6,e
ear2,e
exoc5,e
efs,e
emc9,e
eef1akmt1,e
ebpl,e
extl3,e
elp3,e
esco2,e
ephx2,e
ebf2,e
egr3,e
esd,e
enox1,e
epsti1,e
elf1,e
ednrb,e
endod1,e
eif3g,e
epor,e
elavl3,e
ecsit,e
elof1,e
eepd1,e
ets1,e
ei24,e
esam,e
exph5,e
etfa,e
edc3,e
elovl5,e
eef1a1,e
elovl4,e
esyt3,e
ephb1,e
elp6,e
epm2aip1,e
eomes,e
exog,e
eif1b,e
entpd3,e
exosc7,e
eif4enif1,e
ewsr1,e
emid1,e
egfr,e
etaa1,e
ehbp1,e
efemp1,e
eml6,e
erlec1,e
ebf1,e
epn2,e
elac2,e
efnb3,e
eif4a1,e
eif5a,e
elp5,e
eno3,e
emc6,e
efcab5,e
eral1,e
evi2,e
evi2b,e
evi2a,e
elobl,e
epn3,e
eme1,e
epop,e
erbb2,e
eif1,e
ezh1,e
etv4,e
eftud2,e
ern1,e
evpl,e
exoc7,e
engase,e
eif4a3,e
endov,e
edaradd,e
epdr1,e
elmo1,e
e2f3,e
exoc2,e
eci3,e
eci2,e
eef1e1,e
edn1,e
ecm2,e
ercc6l2,e
exoc3,e
erap1,e
ell2,e
edil3,e
enc1,e
erbin,e
ercc8,e
elovl7,e
esm1,e
emb,e
efr3b,e
e2f6,e
eipr1,e
etv1,e
egln3,e
eapp,e
esr2,e
eif2s1,e
exd2,e
erh,e
entpd5,e
eif2b2,e
erg28,e
eml5,e
efcab11,e
eml1,e
evl,e
exoc3l4,e
eif5,e
esyt2,e
egflam,e
erich5,e
eif3e,e
emc2,e
eny2,e
ebag9,e
eif3h,e
ext1,e
enpp2,e
efr3a,e
eef1d,e
eppk1,e
exosc4,e
eif3d,e
elfn2,e
eif3l,e
enthd1,e
ep300,e
endou,e
eif4b,e
espl1,e
eef2kmt,e
emp2,e
ercc4,e
eif2b5,e
eef1akmt4,e
eif4g1,e
ephb3,e
ehhadh,e
etv5,e
eif4a2,e
eaf2,e
epha3,e
eva1c,e
erg,e
ets2,e
ezr,e
ermard,e
elob,e
eci1,e
e4f1,e
eme2,e
ergic1,e
ephx3,e
egfl8,e
ehmt2,e
esp8,e
enpp5,e
enpp4,e
efhb,e
ebi3,e
efna5,e
epb41l3,e
emilin2,e
ehd3,e
eif2ak2,e
eml4,e
epas1,e
epcam,e
eif2s3y,e
epc1,e
esco1,e
elp2,e
ercc3,e
epb41l4a,e
egr1,e
etf1,e
ecscr,e
eif4ebp3,e
eif3j2,e
eif1a,e
