,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Zfp90,0.9489387264717661,0.051061273528233864,2.9223176915041327,4.355075e-05,1.5850947e-05,0.0,0.25,1.5894042,1.5793514,0.9348498,-1.7827435,5.680106,0.123212144,0.11088707,0.11294462779611329,0.09658119658119346,0.4867894,0.0963529,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Six2,0.9164997997597116,0.08350020024028837,2.395712710005733,4.3301894e-05,1.7949007e-05,0.0,0.25,1.5817068,1.5462241,1.1736915,-1.8080549,6.6552143,0.16684976,0.1606866,0.14044737807114088,0.1279802069275715,0.53739214,0.13783099,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp219,0.9331197436924309,0.06688025630756911,2.635629595338782,7.796067e-05,3.099813e-05,0.0,0.25,1.5798645,1.5290279,1.1165093,-1.904974,5.446827,0.25595874,0.2561016,0.22002200220022075,0.20769230769232427,0.9363474,0.23685269,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp507,0.9409291149379255,0.059070885062074474,2.768129484102668,4.40453e-05,1.6198032e-05,0.0,0.25,1.5781732,1.5327234,0.9546291,-1.465661,6.3170023,0.12797928,0.17899613,0.11184451778511219,0.1481331533963126,0.42747682,0.14032884,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Gm38394,0.9309171005206247,0.06908289947937529,2.600862870647707,7.209777e-05,2.5461537e-05,0.0,0.25,1.5611417,1.5529003,1.0854317,-2.281849,6.9326296,0.23468977,0.09523262,0.1976530986431983,0.08272604588393823,1.0268729,0.12901565,False,Immature TECs 2 vs Rest,Immature TECs 2,Rest
E2f3,0.9459351221465759,0.054064877853424065,2.8619890439274824,3.9561703e-05,1.4961491e-05,0.0,0.25,1.5602331,1.4924922,1.0549301,-2.5239115,6.417653,0.1613493,0.22793949,0.10377704437110409,0.1429599640125956,0.3596649,0.14106588,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zfp346,0.9405286343612335,0.05947136563876654,2.7609469897084797,2.0725678e-05,8.022469e-06,0.0,0.25,1.5571514,1.5346012,1.0259877,-1.8031626,6.464367,0.06784004,0.08861931,0.061239457279061396,0.07939721097615612,0.22485435,0.07131649,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Skil,0.9429315178213856,0.05706848217861438,2.8047415053520726,0.00018109172,6.873048e-05,0.0,0.25,1.5554724,1.5675116,0.9757232,-2.4530497,4.9205675,0.69233906,1.0783995,0.35533553355334857,0.48304093567260176,1.8536825,0.8065802,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Grhl2,0.9445334401281538,0.05546655987184623,2.834910607395368,9.1226946e-05,3.564657e-05,0.0,0.25,1.553976,1.5372906,0.95090574,-1.5233536,4.7077675,0.3065646,0.41716933,0.21782178217821854,0.2709851551957143,0.8499226,0.3341882,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
Zkscan8,0.9437324789747698,0.05626752102523025,2.819725090463805,3.4354154e-05,1.2685653e-05,0.0,0.25,1.5508261,1.5341434,1.0093584,-1.8459492,6.986043,0.1041436,0.13427971,0.09057572423909084,0.1150697255960373,0.3295559,0.10878453,True,Immature TECs 2 vs Rest,Immature TECs 2,Rest
