,table
zfp182,z
zfp300,z
zcchc12,z
zbtb33,z
zdhhc9,z
zfp280c,z
zfp36l3,z
zfp449,z
zic3,z
zfp185,z
zfp275,z
zfp92,z
zfx,z
zxdb,z
zc4h2,z
zc3h12b,z
zmym3,z
zcchc13,z
zdhhc15,z
zfp711,z
zmat1,z
zcchc18,z
zrsr2,z
zfy1,z
zfy2,z
jph1,j
jmjd7,j
jag1,j
jph2,j
jade1,j
jtb,j
jun,j
junos,j
jak1,j
jakmip1,j
jchain,j
jazf1,j
jagn1,j
josd2,j
jakmip3,j
jund,j
jak3,j
junb,j
jph3,j
jrkl,j
jam3,j
jhy,j
jaml,j
jmjd1c,j
jsrp1,j
jade2,j
jmjd4,j
jup,j
jpt1,j
jmjd6,j
jkamp,j
jdp2,j
jag2,j
jarid2,j
jmy,j
jph4,j
jrk,j
josd1,j
jam2,j
jpt2,j
jmjd8,j
jcad,j
jakmip2,j
jak2,j
jade3,j
jpx,j
b3gat2,b
bag2,b
bend6,b
bivm,b
boll,b
bc055402,b
bzw1,b
bmpr2,b
bard1,b
bcs1l,b
bc035947,b
b3gnt7,b
bok,b
bcl2,b
b020011l13rik,b
btg2,b
b3galt2,b
brinp3,b
bc034090,b
brinp2,b
bc055324,b
blzf1,b
b4galt3,b
b930036n10rik,b
b230369f24rik,b
brox,b
bpnt1,b
batf3,b
bend7,b
bmi1,b
bmyc,b
brd3os,b
brd3,b
barhl1,b
bc005624,b
baz2b,b
b3galt1,b
bbs5,b
btbd18,b
b230118h07rik,b
bc016548,b
bdnf,b
bbox1,b
bc052040,b
bmf,b
bub1b,b
bahd1,b
b2m,b
bloc1s6os,b
bloc1s6,b
blvra,b
bub1,b
bcl2l11,b
bmp2,b
btbd3,b
bfsp1,b
banf2,b
banf2os,b
bcl2l1,b
bpifb2,b
bpifb6,b
bpifb3,b
bpifb4,b
bpifa6,b
bpifa2,b
bpifa3,b
bpifa1,b
bpifa5,b
bpifb1,b
bpifb5,b
bpifb9a,b
bpifb9b,b
bc029722,b
blcap,b
bpi,b
b4galt5,b
bcas1,b
bcas1os2,b
bcas1os1,b
bmp7,b
b230312c02rik,b
bhlhe23,b
birc7,b
bhlhe22,b
bbs7,b
bbs12,b
b430305j03rik,b
b3galnt1,b
bche,b
bcan,b
bglap3,b
bglap2,b
bglap,b
b230398e01rik,b
bnipl,b
bc028528,b
bola1,b
bc107364,b
bcl9,b
bcas2,b
bcl2l15,b
bcar3,b
bdh2,b
bank1,b
bmpr1b,b
bcl10,b
b230334c09rik,b
bach2,b
bach2os,b
b4galt1,b
bag1,b
baat,b
bspry,b
